ID,Pred
2019_1101_1113,0.4001444269815584
2019_1101_1120,0.1379407964470598
2019_1101_1124,0.26686378627369467
2019_1101_1125,0.320243096588589
2019_1101_1133,0.5712870022864551
2019_1101_1138,0.1882568181299941
2019_1101_1153,0.22316421366738118
2019_1101_1159,0.5154258868556146
2019_1101_1181,0.07900568217539684
2019_1101_1192,0.5395652282894513
2019_1101_1196,0.27973725285810624
2019_1101_1199,0.20830413898072123
2019_1101_1205,0.6257415706556455
2019_1101_1209,0.5463739571503864
2019_1101_1211,0.05
2019_1101_1222,0.12102606965825079
2019_1101_1233,0.5826733396682461
2019_1101_1234,0.3426033185949555
2019_1101_1235,0.17233593276354486
2019_1101_1242,0.20940353189160116
2019_1101_1243,0.19250386625079074
2019_1101_1246,0.10350787855368222
2019_1101_1251,0.3500247162128484
2019_1101_1257,0.21979648387677214
2019_1101_1261,0.1708138656494906
2019_1101_1266,0.2056325286843237
2019_1101_1268,0.23188142721151184
2019_1101_1276,0.10244165204202628
2019_1101_1277,0.1053195196907392
2019_1101_1278,0.40843951190328354
2019_1101_1279,0.25910457342952486
2019_1101_1280,0.19025880522962402
2019_1101_1285,0.49448163650000443
2019_1101_1293,0.32976183246869645
2019_1101_1295,0.6221928064491141
2019_1101_1297,0.4796871812185392
2019_1101_1300,0.5890673467468505
2019_1101_1305,0.19741790108693533
2019_1101_1308,0.35123155157298086
2019_1101_1314,0.10547947365895691
2019_1101_1318,0.4521099461273047
2019_1101_1326,0.3646884505483455
2019_1101_1328,0.3417413617188889
2019_1101_1330,0.5103445008331536
2019_1101_1332,0.2959563729510823
2019_1101_1341,0.538657132998291
2019_1101_1345,0.11599686185086913
2019_1101_1371,0.40100388116549585
2019_1101_1385,0.39611561993922634
2019_1101_1387,0.459648651499568
2019_1101_1388,0.24343473820152645
2019_1101_1393,0.2107815105211958
2019_1101_1396,0.45658289268886215
2019_1101_1397,0.11532170949234731
2019_1101_1403,0.0981882764232653
2019_1101_1414,0.3919383135510486
2019_1101_1416,0.2835617724013758
2019_1101_1429,0.21447517843875946
2019_1101_1433,0.24718226721232367
2019_1101_1436,0.37477494963084845
2019_1101_1437,0.21955033007823524
2019_1101_1438,0.06772652679886065
2019_1101_1439,0.11361374253224434
2019_1101_1449,0.3318655559742945
2019_1101_1458,0.18367328170641078
2019_1101_1459,0.18133756740813442
2019_1101_1463,0.467133972608833
2019_1113_1120,0.1934672896254611
2019_1113_1124,0.353033905875249
2019_1113_1125,0.41391808129667107
2019_1113_1133,0.6664044389032994
2019_1113_1138,0.25797628108593873
2019_1113_1153,0.3010174092232683
2019_1113_1159,0.6145755093939744
2019_1113_1181,0.11394423514706117
2019_1113_1192,0.6372517792994036
2019_1113_1196,0.36797779604588593
2019_1113_1199,0.28286086887661904
2019_1113_1205,0.7148085995026073
2019_1113_1209,0.6435702090129106
2019_1113_1211,0.06698353685415218
2019_1113_1222,0.17109509860394692
2019_1113_1233,0.6766941921981074
2019_1113_1234,0.43859873249240644
2019_1113_1235,0.23788713527619756
2019_1113_1242,0.2842124967706818
2019_1113_1243,0.2632860386713039
2019_1113_1246,0.1475461067362459
2019_1113_1251,0.4466866334946894
2019_1113_1257,0.29692387195698483
2019_1113_1261,0.2359511680322898
2019_1113_1266,0.2795707014772968
2019_1113_1268,0.31155606113176104
2019_1113_1276,0.14610017410683912
2019_1113_1277,0.14999955954541264
2019_1113_1278,0.5086099624413187
2019_1113_1279,0.3439446568500128
2019_1113_1280,0.2604817728926368
2019_1113_1285,0.5945456029085135
2019_1113_1293,0.4244824443681915
2019_1113_1295,0.7117152906098925
2019_1113_1297,0.5801933947352956
2019_1113_1300,0.6824327851741915
2019_1113_1305,0.26940410755248845
2019_1113_1308,0.4479970337290821
2019_1113_1314,0.15021597804563985
2019_1113_1318,0.5529789187149652
2019_1113_1326,0.4625182691008419
2019_1113_1328,0.4376560470341603
2019_1113_1330,0.6097466201071318
2019_1113_1332,0.38656722306233554
2019_1113_1341,0.6364065183509963
2019_1113_1345,0.16437437301168942
2019_1113_1371,0.5008948371701806
2019_1113_1385,0.4957967858962758
2019_1113_1387,0.5604789780021061
2019_1113_1388,0.3253974067608158
2019_1113_1393,0.2859047313072994
2019_1113_1396,0.5574344807173468
2019_1113_1397,0.16346971182417236
2019_1113_1403,0.14031748138034048
2019_1113_1414,0.49142371483526903
2019_1113_1416,0.37238499604657466
2019_1113_1429,0.2904303897228568
2019_1113_1433,0.32985658113242367
2019_1113_1436,0.4732947900955948
2019_1113_1437,0.2966241811307543
2019_1113_1438,0.09820900214680346
2019_1113_1439,0.16117856883446322
2019_1113_1449,0.4268056414381124
2019_1113_1458,0.25222270295450444
2019_1113_1459,0.24928146483283492
2019_1113_1463,0.5678806436168792
2019_1120_1124,0.6946408272756045
2019_1120_1125,0.7464645577430828
2019_1120_1133,0.892793974772104
2019_1120_1138,0.5917301718647388
2019_1120_1153,0.6422580532912364
2019_1120_1159,0.8692362285430919
2019_1120_1181,0.3490006810432867
